0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.1909,0.1297,0.1169,0.1297,0.1169
0.0148,0.0799,0.1288,0.1270,0.1105
0.0805,0.1062,0.0799,0.0799,0.1116
0.0808,0.1305,0.1475,0.1475,0.1475
0.0091,0.1339,0.1339,0.1331,0.1339
0.0805,0.1084,0.1296,0.1084,0.1084
0.0114,0.1306,0.1126,0.1126,0.1126
0.0096,0.1339,0.1339,0.1339,0.1339
0.0085,0.1339,0.1339,0.1339,0.1339
0.0093,0.1339,0.1339,0.1339,0.1339
0.0098,0.1126,0.1331,0.1126,0.1126
0.0809,0.1126,0.1331,0.1126,0.1126
0.0069,0.1497,0.1339,0.1339,0.1339
0.0076,0.1497,0.1331,0.1497,0.1497
0.0137,0.1476,0.1476,0.1476,0.1476
0.0096,0.1126,0.1126,0.1126,0.1339
0.0072,0.1483,0.1483,0.1339,0.1483
0.0085,0.1331,0.1331,0.1126,0.1339
0.0100,0.1331,0.1331,0.1331,0.1331
0.0079,0.1126,0.1331,0.1126,0.1339
0.0082,0.1339,0.1339,0.1339,0.1339
0.0079,0.1497,0.1497,0.1497,0.1497
0.0076,0.1339,0.1339,0.1497,0.1339
0.0085,0.1339,0.1339,0.1339,0.1339
0.0082,0.1126,0.1126,0.1126,0.1126
0.0113,0.1331,0.1331,0.1331,0.1331
0.0091,0.1483,0.1483,0.1483,0.1126
0.0093,0.1468,0.1322,0.1322,0.1322
0.0105,0.1314,0.1126,0.1126,0.1126
0.1498,0.1331,0.1490,0.1490,0.1331
0.0093,0.1703,0.1475,0.1483,0.1331
0.1912,0.1116,0.1116,0.0814,0.0814
0.1980,0.1591,0.1116,0.0783,0.1083
0.1833,0.1447,0.1116,0.1297,0.1083
0.1633,0.1772,0.1083,0.1105,0.1083
0.1490,0.1697,0.1270,0.1246,0.1083
0.1975,0.1776,0.1269,0.1039,0.1083
0.1900,0.1752,0.1269,0.1039,0.1083
0.1982,0.1897,0.1269,0.1039,0.1083
0.1938,0.1844,0.1269,0.0735,0.1083
0.1951,0.1896,0.1269,0.0735,0.1083
0.1794,0.1889,0.1269,0.0735,0.1083
0.1800,0.1892,0.1269,0.0735,0.1083
0.1424,0.1535,0.1269,0.0735,0.1083
0.1969,0.1750,0.1269,0.0735,0.1083
0.1781,0.1434,0.1269,0.0735,0.1083
0.1800,0.1538,0.1269,0.0735,0.1083
0.1466,0.1272,0.1269,0.0799,0.1083
0.1849,0.1863,0.1269,0.0799,0.1083
0.1689,0.1649,0.1269,0.0799,0.1083
0.1852,0.1815,0.1269,0.0799,0.1083
0.1680,0.1268,0.1269,0.0799,0.1083
0.1443,0.1262,0.1269,0.0799,0.1083
0.1842,0.1648,0.1269,0.0799,0.1083
0.1470,0.1434,0.1269,0.0799,0.1083
0.1467,0.1560,0.1269,0.0799,0.1083
0.1913,0.1816,0.1269,0.0799,0.1083
0.1709,0.1461,0.1269,0.0799,0.1083
0.1853,0.1475,0.1269,0.0799,0.1083
0.1965,0.1288,0.1269,0.0814,0.1083
0.1833,0.1094,0.0814,0.0814,0.1083
0.1760,0.1061,0.0814,0.0814,0.1083
0.1759,0.1105,0.0814,0.0783,0.1083
0.2002,0.0814,0.0814,0.0814,0.1083
0.1904,0.1084,0.0799,0.0814,0.1083
0.1729,0.1782,0.1279,0.0995,0.1083
0.1615,0.1647,0.1454,0.1244,0.1083
0.1304,0.1676,0.1645,0.1279,0.0799
0.1100,0.1834,0.1490,0.1279,0.0799
0.1320,0.1698,0.1666,0.1094,0.0783
0.2010,0.1072,0.0799,0.1094,0.0719
0.1110,0.1649,0.1586,0.1094,0.0719
0.1726,0.1401,0.1614,0.1094,0.0719
0.1626,0.0767,0.1710,0.1094,0.0719
0.1574,0.1579,0.1566,0.1094,0.1050
0.1624,0.1468,0.1898,0.1094,0.1050
0.1778,0.0735,0.1869,0.1094,0.0767
0.1922,0.0672,0.1697,0.1094,0.0767
0.1927,0.0672,0.1831,0.1094,0.0767
