0.0000,0.0000,0.0000,0.0000
0.1348,0.0000,0.0814,0.0000
0.1937,0.1106,0.1563,0.0767
0.0216,0.1926,0.1899,0.1105
0.0134,0.1924,0.1822,0.0814
0.0108,0.1928,0.1971,0.1084
0.0123,0.1990,0.1960,0.1314
0.0101,0.1899,0.1928,0.1483
0.0087,0.1948,0.1898,0.1339
0.0092,0.1765,0.1833,0.1126
0.0079,0.1987,0.1983,0.1497
0.0085,0.1853,0.1940,0.1126
0.0102,0.1903,0.1928,0.1126
0.0076,0.1969,0.1952,0.1339
0.0087,0.1952,0.1975,0.1339
0.0100,0.1908,0.1948,0.1126
0.0079,0.1952,0.1837,0.1339
0.0093,0.1961,0.1979,0.1339
0.0088,0.1998,0.1948,0.1339
0.0103,0.1912,0.1940,0.1126
0.0099,0.1908,0.1833,0.1126
0.0134,0.1882,0.1988,0.1306
0.1881,0.1832,0.1822,0.1339
0.0084,0.1848,0.1898,0.1339
0.0082,0.1969,0.1903,0.1339
0.0103,0.1961,0.1952,0.1339
0.0128,0.1957,0.2003,0.1126
0.0069,0.1969,0.1837,0.1339
0.0072,0.1998,0.1982,0.1339
0.0096,0.1838,0.1981,0.1322
0.0100,0.1618,0.2003,0.1126
0.0100,0.1738,0.1981,0.1126
0.0100,0.1848,0.1967,0.1331
0.0100,0.1859,0.1948,0.1331
0.0100,0.1961,0.1894,0.1331
0.0100,0.1839,0.1975,0.1331
0.0100,0.1306,0.1948,0.1497
0.0100,0.1476,0.1971,0.1497
0.0100,0.1709,0.1976,0.1599
0.0100,0.1292,0.1982,0.1497
0.0100,0.1301,0.1971,0.1497
0.0100,0.1094,0.1971,0.1497
0.0100,0.1479,0.1944,0.1497
0.0100,0.1772,0.1960,0.1475
0.0100,0.1480,0.1971,0.1497
0.0100,0.1089,0.1971,0.1322
0.0100,0.1979,0.1971,0.1497
0.0100,0.1303,0.1971,0.1475
0.0100,0.0795,0.1971,0.1586
0.0100,0.1595,0.1931,0.1322
0.0100,0.1089,0.1978,0.1475
0.0100,0.1095,0.1984,0.1468
0.0100,0.1309,0.1964,0.1461
0.0100,0.0125,0.1968,0.1586
0.0100,0.1306,0.1944,0.1461
0.0100,0.1796,0.1927,0.1322
0.0100,0.1096,0.1863,0.1686
0.0100,0.1082,0.1931,0.1461
0.0100,0.1088,0.1848,0.1439
0.0100,0.0144,0.1813,0.1440
0.0100,0.0144,0.1911,0.1586
0.0100,0.0144,0.1942,0.1322
0.0100,0.0144,0.1748,0.1599
0.0100,0.0144,0.1987,0.1490
0.0100,0.0144,0.1872,0.1617
0.0100,0.0144,0.1602,0.1714
0.0100,0.0144,0.1942,0.1617
0.0100,0.0144,0.1686,0.1599
0.0100,0.0144,0.1924,0.1704
0.0100,0.0144,0.1701,0.1844
0.0100,0.0144,0.1697,0.1720
0.0100,0.0144,0.1468,0.1720
0.0100,0.0144,0.0203,0.1599
0.0100,0.0144,0.1301,0.1703
0.0100,0.0144,0.1785,0.1703
0.0100,0.0144,0.0152,0.1703
0.0100,0.0144,0.0787,0.1703
0.0100,0.0144,0.0791,0.1599
0.0100,0.0144,0.0123,0.1599
0.0100,0.0144,0.0789,0.1490
0.0100,0.0144,0.0792,0.1490
0.0100,0.0144,0.0146,0.1698
0.0100,0.0144,0.0126,0.1599
0.0100,0.0144,0.0783,0.1762
0.0100,0.0144,0.0255,0.1848
0.0100,0.0144,0.0796,0.1782
0.0100,0.0144,0.0137,0.1714
0.0100,0.0144,0.0790,0.1890
0.0100,0.0144,0.1092,0.1926
0.0100,0.0144,0.1092,0.1793
0.0100,0.0144,0.1092,0.1560
0.0100,0.0144,0.1092,0.1789
0.0100,0.0144,0.1092,0.1566
0.0100,0.0144,0.1092,0.1683
0.0100,0.0144,0.1092,0.1804
0.0100,0.0144,0.1092,0.1551
0.0100,0.0144,0.1092,0.1554
0.0100,0.0144,0.1092,0.1554
0.0100,0.0144,0.1092,0.1273
0.0100,0.0144,0.1092,0.1061
0.0100,0.0144,0.1092,0.1060
0.0100,0.0144,0.1092,0.1064
0.0100,0.0144,0.1092,0.1274
0.0100,0.0144,0.1092,0.1425
0.0100,0.0144,0.1092,0.1432
0.0100,0.0144,0.1092,0.1066
0.0100,0.0144,0.1092,0.1070
0.0100,0.0144,0.1092,0.1266
0.0100,0.0144,0.1092,0.1431
0.0100,0.0144,0.1092,0.1068
0.0100,0.0144,0.1092,0.1744
0.0100,0.0144,0.1092,0.1443
0.0100,0.0144,0.1092,0.1264
0.0100,0.0144,0.1092,0.1514
0.0100,0.0144,0.1092,0.1429
0.0100,0.0144,0.1092,0.1437
0.0100,0.0144,0.1092,0.1275
0.0100,0.0144,0.1092,0.1441
